disorder_cui|name|definition
C0206695|Carcinoma, Neuroendocrine|A group of carcinomas which share a characteristic morphology, often being composed of clusters and trabecular sheets of round blue cells, granular chromatin, and an attenuated rim of poorly demarcated cytoplasm. Neuroendocrine tumors include carcinoids, small (oat) cell carcinomas, medullary carcinoma of the thyroid, Merkel cell tumor, cutaneous neuroendocrine carcinoma, pancreatic islet cell tumors, and pheochromocytoma. Neurosecretory granules are found within the tumor cells. (Segen, Dictionary of Modern Medicine, 1992)
C0041374|Tumor Virus Infections|Infections produced by oncogenic viruses. The infections caused by DNA viruses are less numerous but more diverse than those caused by the RNA oncogenic viruses.
C0022116|Ischemia|A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION.
C0016658|Fracture|Breaks in bones.
C2004493|Leukemia, B-Cell|A malignant disease of the B-LYMPHOCYTES in the bone marrow and/or blood.
C0030794|Pelvic Pain|Pain in the pelvic region of genital and non-genital origin.
C0032519|Polymenorrhea|undefined
C0282207|Cronkhite-Canada Syndrome|A nonfamilial polyposis syndrome that is characterized by the presence of diffuse gastrointestinal polyposis, skin hyperpigmentation, ALOPECIA; DIARRHEA, and PROTEIN-LOSING ENTEROPATHY. It was first reported by Cronkhite and Canada in 1955.
C0009402|Colorectal Carcinoma|undefined
C0206677|Adenomatous Polyps|Benign neoplasms derived from glandular epithelium. (From Stedman, 25th ed)
C0007621|Neoplastic Cell Transformation|Cell changes manifested by escape from control mechanisms, increased growth potential, alterations in the cell surface, karyotypic abnormalities, morphological and biochemical deviations from the norm, and other attributes conferring the ability to invade, metastasize, and kill.
C0596263|Carcinogenesis|The origin, production or development of cancer through genotypic and phenotypic changes which upset the normal balance between cell proliferation and cell death. Carcinogenesis generally requires a constellation of steps, which may occur quickly or over a period of many years.
C0034189|Pyemia|Septicemia caused by pyogenic microorganisms (e.g., STAPHYLOCOCCUS; BACILLUS), resulting in the formation of secondary foci of SUPPURATION and multiple ABSCESSES.
C0236664|Alcohol Related Disorders|Disorders related to or resulting from abuse or misuse of alcohol.
C0022078|Iris Diseases|Diseases, dysfunctions, or disorders of or located in the iris.
C0030343|Panuveitis|Inflammation in which both the anterior and posterior segments of the uvea are involved and a specific focus is not apparent. It is often severe and extensive and a serious threat to vision. Causes include systemic diseases such as tuberculosis, sarcoidosis, and syphilis, as well as malignancies. The intermediate segment of the eye is not involved.
C0002886|Anemia, Macrocytic|Anemia characterized by larger than normal erythrocytes, increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).
C0003462|Anus Diseases|Diseases involving the ANUS.
C0037285|Skin Manifestations|Dermatologic disorders attendant upon non-dermatologic disease or injury.
C0343952|Hyalohyphomycosis|OPPORTUNISTIC INFECTIONS caused by a heterogeneous group of MITOSPORIC FUNGI with clear (hyalo-) HYPHAE in the host. Common causative agents include ACREMONIUM; ASPERGILLUS; CHRYSOSPORIUM; FUSARIUM; PAECILOMYCES; PENICILLIUM; PSEUDALLESCHERIA; SCEDOSPORIUM; and SCOPULARIOPSIS. Normally a dermatomycoses, it can become invasive in the IMMUNOCOMPROMISED HOST.
C0042998|Vulvovaginitis|Inflammation of the VULVA and the VAGINA, characterized by discharge, burning, and PRURITUS.
C0042996|Vulvitis|Inflammation of the VULVA. It is characterized by PRURITUS and painful urination.
C0042994|Vulvar Diseases|Pathological processes of the VULVA.
C0042251|Vaginal Diseases|Pathological processes of the VAGINA.
C0024116|Lung Diseases, Fungal|Pulmonary diseases caused by fungal infections, usually through hematogenous spread.
C0029118|Opportunistic Infections|An infection caused by an organism which becomes pathogenic under certain conditions, e.g., during immunosuppression.
C0040938|Trichophytosis|undefined
C0027339|Nail Diseases|Diseases of the nail plate and tissues surrounding it. The concept is limited to primates.
C2717956|Euglenozoa Infections|Infections with the protozoa of the phylum EUGLENOZOA.
C0037280|Skin Diseases, Parasitic|Skin diseases caused by ARTHROPODS; HELMINTHS; or other parasites.
C0206643|Neoplasms, Fibrous Tissue|Neoplasms composed of fibrous tissue, the ordinary connective tissue of the body, made up largely of yellow or white fibers. The concept does not refer to neoplasms located in fibrous tissue.
C0027095|Myosarcoma|A general term for a malignant neoplasm derived from muscular tissue. (Stedman, 25th ed)
C0027043|Myoblastoma|undefined
C0242429|Sore Throat|undefined
C0029877|Ear Inflammation|Inflammation of the ear, which may be marked by pain (EARACHE), fever, HEARING DISORDERS, and VERTIGO. Inflammation of the external ear is OTITIS EXTERNA; of the middle ear, OTITIS MEDIA; of the inner ear, LABYRINTHITIS.
C0026945|Mycoplasmatales Infections|Infections with bacteria of the order MYCOPLASMATALES.
C0040128|Thyroid Diseases|Pathological processes involving the THYROID GLAND.
C0015333|Exposure to radiation|Phenomenon in which organisms are subjected to radiation.
C4281532|Radiation Effects|The effects of ionizing and nonionizing radiation upon living organisms, organs and tissues, and their constituents, and upon physiologic processes. It includes the effect of irradiation on food, drugs, and chemicals.
C0851346|Radiation|Emission or propagation of acoustic waves (SOUND), ELECTROMAGNETIC ENERGY waves (such as LIGHT; RADIO WAVES; GAMMA RAYS; or X-RAYS), or a stream of subatomic particles (such as ELECTRONS; NEUTRONS; PROTONS; or ALPHA PARTICLES).
C0014412|Environmental Exposure|The exposure to potentially harmful chemical, physical, or biological agents in the environment or to environmental factors that may include ionizing radiation, pathogenic organisms, or toxic chemicals.
C0034597|Radiologic Health|Health concerns associated with the effects of radiation on the environment and on public and personal health.
C0597237|Physical Process|undefined
C0522737|Soil Pollution|undefined
C0034161|Pus|undefined
C0016510|Foot Diseases|Anatomical and functional disorders affecting the foot.
C0162817|Skin Diseases, Eczematous|Any of a variety of eruptive skin disorders characterized by erythema, oozing, vesiculation, and scaling. Etiology is varied.
C1257809|Steroid Metabolism, Inborn Errors|Errors in metabolic processing of STEROIDS resulting from inborn genetic mutations that are inherited or acquired in utero.
C0302280|Adrenogenital Syndrome|Abnormal SEX DIFFERENTIATION or congenital DISORDERS OF SEX DEVELOPMENT caused by abnormal levels of steroid hormones expressed by the GONADS or the ADRENAL GLANDS, such as in CONGENITAL ADRENAL HYPERPLASIA and ADRENAL CORTEX NEOPLASMS. Due to abnormal steroid biosynthesis, clinical features include VIRILISM in females; FEMINIZATION in males; or precocious sexual development in children.
C0041834|Erythema|Redness of the skin produced by congestion of the capillaries. This condition may result from a variety of disease processes.
C0037275|Skin Diseases, Vesiculobullous|Skin diseases characterized by local or general distributions of blisters. They are classified according to the site and mode of blister formation. Lesions can appear spontaneously or be precipitated by infection, trauma, or sunlight. Etiologies include immunologic and genetic factors. (From Scientific American Medicine, 1990)
C0032273|Pneumoconiosis|A diffuse parenchymal lung disease caused by inhalation of dust and by tissue reaction to their presence. These inorganic, organic, particulate, or vaporized matters usually are inhaled by workers in their occupational environment, leading to the various forms (ASBESTOSIS; BYSSINOSIS; and others). Similar air pollution can also have deleterious effects on the general population.
C5690892|E-Cigarette or Vaping Product Use-Associated Lung Injury|undefined
C0206061|Pneumonia, Interstitial|undefined
C0028797|Occupational Diseases|Diseases caused by factors involved in one's employment.
C0039980|Thoracic Injuries|General or unspecified injuries to the chest area.
C0020522|Delayed Hypersensitivity|An increased reactivity to specific antigens mediated not by antibodies but by sensitized T CELLS.
C0011609|Drug Eruptions|Adverse cutaneous reactions caused by ingestion, parenteral use, or local application of a drug. These may assume various morphologic patterns and produce various types of lesions.
C0079772|T-Cell Lymphoma|A group of heterogeneous lymphoid tumors representing malignant transformations of T-lymphocytes.
C0162533|Porphyrias, Hepatic|A group of metabolic diseases due to deficiency of one of a number of LIVER enzymes in the biosynthetic pathway of HEME. They are characterized by the accumulation and increased excretion of PORPHYRINS or its precursors. Clinical features include neurological symptoms (PORPHYRIA, ACUTE INTERMITTENT), cutaneous lesions due to photosensitivity (PORPHYRIA CUTANEA TARDA), or both (HEREDITARY COPROPORPHYRIA). Hepatic porphyrias can be hereditary or acquired as a result of toxicity to the hepatic tissues.
C5848306|Porphyrias|A diverse group of metabolic diseases characterized by errors in the biosynthetic pathway of HEME in the LIVER, the BONE MARROW, or both. They are classified by the deficiency of specific enzymes, the tissue site of enzyme defect, or the clinical features that include neurological (acute) or cutaneous (skin lesions). Porphyrias can be hereditary or acquired as a result of toxicity to the hepatic or erythropoietic marrow tissues.
C0040702|Transient Tic Disorder|undefined
C0032966|Pregnancy Complications, Neoplastic|The co-occurrence of pregnancy and NEOPLASMS. The neoplastic disease may precede or follow FERTILIZATION.
C0276908|Infection by Pneumocystis jirovecii (disorder)|undefined
C0005146|Besnoitiasis|undefined
C0036502|Sebaceous Gland Diseases|Diseases of the sebaceous glands such as sebaceous hyperplasia and sebaceous cell carcinoma (SEBACEOUS GLAND NEOPLASMS).
C0008943|Climacteric|Physiologic period, characterized by endocrine and somatic changes with the termination of ovarian function in the female. It may also accompany the diminution of sexual activity in the male.
C2350525|Reproductive Physiological Phenomena|Physiological processes, factors, properties and characteristics pertaining to REPRODUCTION.
C0233896|Sexual Development|The processes of anatomical and physiological changes related to sexual or reproductive functions during the life span of a human or an animal, from FERTILIZATION to DEATH. These include SEX DETERMINATION PROCESSES; SEX DIFFERENTIATION; SEXUAL MATURATION; and changes during AGING.
C0035153|Reproductive and Urinary Physiological Phenomena|Physiology of the human and animal body, male or female, in the processes and characteristics of REPRODUCTION and the URINARY TRACT.
C0027670|Paraneoplastic Endocrine Syndromes|Syndromes resulting from inappropriate production of HORMONES or hormone-like materials by NEOPLASMS in non-endocrine tissues or not by the usual ENDOCRINE GLANDS. Such hormone outputs are called ectopic hormone (HORMONES, ECTOPIC) secretion.
C1510586|Autism Spectrum Disorders|Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors. (from DSM-V)
C0524528|Pervasive Development Disorder|undefined
C0015423|Eyelid Diseases|Diseases involving the EYELIDS.
C0028850|Ocular Motility Disorders|Disorders that feature impairment of eye movements as a primary manifestation of disease. These conditions may be divided into infranuclear, nuclear, and supranuclear disorders. Diseases of the eye muscles or oculomotor cranial nerves (III, IV, and VI) are considered infranuclear. Nuclear disorders are caused by disease of the oculomotor, trochlear, or abducens nuclei in the BRAIN STEM. Supranuclear disorders are produced by dysfunction of higher order sensory and motor systems that control eye movements, including neural networks in the CEREBRAL CORTEX; BASAL GANGLIA; CEREBELLUM; and BRAIN STEM. Ocular torticollis refers to a head tilt that is caused by an ocular misalignment. Opsoclonus refers to rapid, conjugate oscillations of the eyes in multiple directions, which may occur as a parainfectious or paraneoplastic condition (e.g., OPSOCLONUS-MYOCLONUS SYNDROME). (Adams et al., Principles of Neurology, 6th ed, p240)
C0026826|Muscle Hypertonia|Abnormal increase in skeletal or smooth muscle tone. Skeletal muscle hypertonicity may be associated with PYRAMIDAL TRACT lesions or BASAL GANGLIA DISEASES.
C2733158|Cerebral Small Vessel Diseases|Pathological processes or diseases where cerebral MICROVESSELS show abnormalities. They are often associated with aging, hypertension and risk factors for lacunar infarcts (see LACUNAR INFARCTION); LEUKOARAIOSIS; and CEREBRAL HEMORRHAGE.
C0264939|Systemic Vasculitis|A heterogeneous group of diseases characterized by inflammation and necrosis of the blood vessel walls.
C0178782|Orofacial Pain|undefined
C1565172|Trigeminal Autonomic Cephalalgias|Primary headache disorders that show symptoms caused by the activation of the AUTONOMIC NERVOUS SYSTEM of the TRIGEMINAL NERVE. These autonomic features include redness and tearing of the EYE, nasal congestion or discharge, facial SWEATING and other symptoms. Most subgroups show unilateral cranial PAIN.
C1565106|Headache Disorders, Primary|Conditions in which the primary symptom is HEADACHE and the headache cannot be attributed to any known causes.
C0393735|Headache Disorders|Various conditions with the symptom of HEADACHE. Headache disorders are classified into major groups, such as PRIMARY HEADACHE DISORDERS (based on characteristics of their headache symptoms) and SECONDARY HEADACHE DISORDERS (based on their etiologies). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)
C0206363|Gastrospirillum|undefined
C0018150|Gram Negative Bacteria|Bacteria which lose crystal violet stain but are stained pink when treated by Gram's method.
C1029239|Helicobacteraceae|A family of Gram-negative bacteria of the order CAMPYLOBACTERALES that have a helical shape, and occur in the mammalian digestive track.
C0004611|Bacteria|One of the three domains of life (the others being Eukarya and ARCHAEA), also called Eubacteria. They are unicellular prokaryotic microorganisms which generally possess rigid cell walls, multiply by cell division, and exhibit three principal forms: round or coccal, rodlike or bacillary, and spiral or spirochetal. Bacteria can be classified by their response to OXYGEN: aerobic, anaerobic, or facultatively anaerobic; by the mode by which they obtain their energy: chemotrophy (via chemical reaction) or PHOTOTROPHY (via light reaction); for chemotrophs by their source of chemical energy: CHEMOLITHOTROPHY (from inorganic compounds) or chemoorganotrophy (from organic compounds); and by their source for CARBON; NITROGEN; etc.; HETEROTROPHY (from organic sources) or AUTOTROPHY (from CARBON DIOXIDE). They can also be classified by whether or not they stain (based on the structure of their CELL WALLS) with CRYSTAL VIOLET dye: gram-negative or gram-positive.
C1227458|Campylobacterales|Gram negative microaerophilic bacteria of the phylum PROTEOBACTERIA, class EPSILONPROTEOBACTERIA.
C0751990|Epsilonproteobacteria|A group of proteobacteria consisting of chemoorganotrophs usually associated with the DIGESTIVE SYSTEM of humans and animals.
C0751985|Proteobacteria|A phylum of bacteria consisting of the purple bacteria and their relatives which form a branch of the eubacterial tree. This group of predominantly gram-negative bacteria is classified based on homology of equivalent nucleotide sequences of 16S ribosomal RNA or by hybridization of ribosomal RNA or DNA with 16S and 23S ribosomal RNA.
C0220982|Ketoacidosis|A condition characterized by an abnormally elevated concentration of KETONE BODIES in the blood (acetonemia) or urine (acetonuria). It is a sign of DIABETES COMPLICATION, starvation, alcoholism or a mitochondrial metabolic disturbance (e.g., MAPLE SYRUP URINE DISEASE).
C0033141|Cardiomyopathies, Primary|undefined
C0035126|Reperfusion Injury|Adverse functional, metabolic, or structural changes in tissues that result from the restoration of blood flow to the tissue (REPERFUSION) following ISCHEMIA.
C2713368|Hematopoetic Myelodysplasia|undefined
C0015403|Eye Infection|Infection, moderate to severe, caused by bacteria, fungi, or viruses, which occurs either on the external surface of the eye or intraocularly with probable inflammation, visual impairment, or blindness.
C0009759|Conjunctival Diseases|Diseases involving the CONJUNCTIVA.
C0085389|Bacillaceae Infections|Infections with bacteria of the family BACILLACEAE.
C2718017|TDP-43 Proteinopathies|Diseases characterized by the presence of abnormally phosphorylated, ubiquitinated, and cleaved DNA-binding protein TDP-43 in affected brain and spinal cord. Inclusions of the pathologic protein in neurons and glia, without the presence of AMYLOID, is the major feature of these conditions, thus making these proteinopathies distinct from most other neurogenerative disorders in which protein misfolding leads to brain amyloidosis. Both frontotemporal lobar degeneration and AMYOTROPHIC LATERAL SCLEROSIS exhibit this common method of pathogenesis and thus they may represent two extremes of a continuous clinicopathological spectrum of one disease.
C2717961|Thrombotic Microangiopathies|Diseases that result in THROMBOSIS in MICROVASCULATURE. The two most prominent diseases are PURPURA, THROMBOTIC THROMBOCYTOPENIC; and HEMOLYTIC-UREMIC SYNDROME. Multiple etiological factors include VASCULAR ENDOTHELIAL CELL damage due to SHIGA TOXIN; FACTOR H deficiency; and aberrant VON WILLEBRAND FACTOR formation.
C0019061|Hemolytic-Uremic Syndrome|A syndrome that is associated with microvascular diseases of the KIDNEY, such as RENAL CORTICAL NECROSIS. It is characterized by hemolytic anemia (ANEMIA, HEMOLYTIC); THROMBOCYTOPENIA; and ACUTE RENAL FAILURE.
C0085160|Hidradenitis|The inflammation of a sweat gland (usually of the apocrine type). The condition can be idiopathic or occur as a result of or in association with another underlying condition. Neutrophilic eccrine hidradenitis is a relatively rare variant that has been reported in patients undergoing chemotherapy, usually for non-Hodgkin lymphomas or leukemic conditions.
C0038986|Sweat Gland Diseases|Diseases of the SWEAT GLANDS.
C0037899|Sphingolipidoses|A group of inherited metabolic disorders characterized by the intralysosomal accumulation of SPHINGOLIPIDS primarily in the CENTRAL NERVOUS SYSTEM and to a variable degree in the visceral organs. They are classified by the enzyme defect in the degradation pathway and the substrate accumulation (or storage). Clinical features vary in subtypes but neurodegeneration is a common sign.
C0751738|Lysosomal Storage Diseases, Nervous System|A group of enzymatic disorders affecting the nervous system and to a variable degree the skeletal system, lymphoreticular system, and other organs. The conditions are marked by an abnormal accumulation of catabolic material within lysosomes.
C0346402|Malignant neoplasm of adrenal cortex|undefined
C0001614|Adrenal Cortex Diseases|Pathological processes of the ADRENAL CORTEX.
C0001624|Adrenal Gland Neoplasms|Tumors or cancer of the ADRENAL GLANDS.
C0032310|Pneumonia, Viral|Inflammation of the lung parenchyma that is caused by a viral infection.
C0162628|Skin Diseases, Viral|Skin diseases caused by viruses.
C0023760|Lip Diseases|Diseases involving the LIP.
C0015407|Eye Infections, Viral|Infections of the eye caused by minute intracellular agents. These infections may lead to severe inflammation in various parts of the eye - conjunctiva, iris, eyelids, etc. Several viruses have been identified as the causative agents. Among these are Herpesvirus, Adenovirus, Poxvirus, and Myxovirus.
C0243010|Viral Encephalitis|Inflammation of brain parenchymal tissue as a result of viral infection. Encephalitis may occur as primary or secondary manifestation of TOGAVIRIDAE INFECTIONS; HERPESVIRIDAE INFECTIONS; ADENOVIRIDAE INFECTIONS; FLAVIVIRIDAE INFECTIONS; BUNYAVIRIDAE INFECTIONS; PICORNAVIRIDAE INFECTIONS; PARAMYXOVIRIDAE INFECTIONS; ORTHOMYXOVIRIDAE INFECTIONS; RETROVIRIDAE INFECTIONS; and ARENAVIRIDAE INFECTIONS.
C0596773|Infectious Encephalitis|Brain inflammation caused by an infectious agent.
C0348165|Central Nervous System Viral Diseases|Viral infections of the brain, spinal cord, meninges, or perimeningeal spaces.
C0393484|Rasmussen Syndrome|undefined
C0014070|Encephalomyelitis|A general term indicating inflammation of the BRAIN and SPINAL CORD, often used to indicate an infectious process, but also applicable to a variety of autoimmune and toxic-metabolic conditions. There is significant overlap regarding the usage of this term and ENCEPHALITIS in the literature.
C0038441|Stress Disorders, Traumatic|Anxiety disorders manifested by the development of characteristic symptoms following a psychologically traumatic event that is outside the normal range of usual human experience. Symptoms include re-experiencing the traumatic event, increased arousal, and numbing of responsiveness to or reduced involvement with the external world. Traumatic stress disorders can be further classified by the time of onset and the duration of these symptoms.
C4042925|Trauma and Stressor Related Disorders|Disorders in which exposure to a traumatic or stressful event is explicitly a diagnostic criterion.
C0282525|Adrenoleukodystrophy, Neonatal|undefined
C0031542|Phlebitis|Inflammation of a vein, often a vein in the leg. Phlebitis associated with a blood clot is called (THROMBOPHLEBITIS).
C1704212|Embolus|undefined
C0020541|Portal Hypertension|Abnormal increase of resistance to blood flow within the hepatic PORTAL SYSTEM, frequently seen in LIVER CIRRHOSIS and conditions with obstruction of the PORTAL VEIN.
C0085605|Liver Failure|Severe inability of the LIVER to perform its normal metabolic functions, as evidenced by severe JAUNDICE and abnormal serum levels of AMMONIA; BILIRUBIN; ALKALINE PHOSPHATASE; ASPARTATE AMINOTRANSFERASE; LACTATE DEHYDROGENASES; and albumin/globulin ratio. (Blakiston's Gould Medical Dictionary, 4th ed)
C1306571|Hepatic Insufficiency|Conditions in which the LIVER functions fall below the normal ranges. Severe hepatic insufficiency may cause LIVER FAILURE or DEATH. Treatment may include LIVER TRANSPLANTATION.
C0008370|Cholestasis|Impairment of bile flow due to obstruction in small bile ducts (INTRAHEPATIC CHOLESTASIS) or obstruction in large bile ducts (EXTRAHEPATIC CHOLESTASIS).
C0005395|Bile Duct Diseases|Diseases in any part of the ductal system of the BILIARY TRACT from the smallest BILE CANALICULI to the largest COMMON BILE DUCT.
C0005424|Biliary Tract Diseases|Diseases in any part of the BILIARY TRACT including the BILE DUCTS and the GALLBLADDER.
C0032226|Pleural Diseases|Diseases involving the PLEURA.
C0020505|Hyperphagia|Ingestion of a greater than optimal quantity of food.
C1262313|Invasive Fungal Infections|Mycoses which manifest as infections of deep tissue or blood.
C0085438|Meningitis, Fungal|Meningitis caused by fungal agents which may occur as OPPORTUNISTIC INFECTIONS or arise in immunocompetent hosts.
C0729544|Central Nervous System Fungal Infections|MYCOSES of the brain, spinal cord, and meninges which may result in ENCEPHALITIS; MENINGITIS, FUNGAL; MYELITIS; BRAIN ABSCESS; and EPIDURAL ABSCESS. Certain types of fungi may produce disease in immunologically normal hosts, while others are classified as opportunistic pathogens, causing illness primarily in immunocompromised individuals (e.g., ACQUIRED IMMUNODEFICIENCY SYNDROME).
C0745091|Hypereosinophilia|undefined
C0234455|Sleep Drunkenness|undefined
C0206764|Neoplasms, Complex and Mixed|Neoplasms composed of more than one type of neoplastic tissue.
C0679362|Tuberculosis, Extrapulmonary|MYCOBACTERIUM infections of organs other than the lung.
C1623038|Cirrhosis|undefined
C0403447|Chronic Kidney Insufficiency|Conditions in which the KIDNEYS perform below the normal level for more than three months. Chronic kidney insufficiency is classified by five stages according to the decline in GLOMERULAR FILTRATION RATE and the degree of kidney damage (as measured by the level of PROTEINURIA). The most severe form is the end-stage renal disease (CHRONIC KIDNEY FAILURE). (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002)
C0018500|Hair Diseases|Diseases affecting the orderly growth and persistence of hair.
C0042755|Abnormal Virilization|Development of male secondary SEX CHARACTERISTICS in the FEMALE. It is due to the effects of androgenic metabolites of precursors from endogenous or exogenous sources, such as ADRENAL GLANDS or therapeutic drugs.
C0018824|Heart valve disease|Pathological conditions involving any of the various HEART VALVES and the associated structures (PAPILLARY MUSCLES and CHORDAE TENDINEAE).
C0003493|Aortic Diseases|Pathological processes involving any part of the AORTA.
C0042512|Ventricular Outflow Obstruction|Occlusion of the outflow tract in either the LEFT VENTRICLE or the RIGHT VENTRICLE of the heart. This may result from CONGENITAL HEART DEFECTS, predisposing heart diseases, complications of surgery, or HEART NEOPLASMS.
C0024236|Lymphedema|Edema due to obstruction of lymph vessels or disorders of the lymph nodes.
C0162631|Rhabditida Infections|Infections with nematodes of the order RHABDITIDA.
C0162625|Secernentea Infections|Infections with nematodes of the subclass SECERNENTEA.
C0277202|Capillaria hepatica Infection|undefined
C0162623|Adenophorea Infections|Infections with nematodes of the subclass ADENOPHOREA.
C0030100|Oxyuriasis|Infection with nematodes of the superfamily OXYUROIDEA.
C0162629|Oxyurida Infections|Infections with nematodes of the order OXYURIDA.
C4505467|Raccoon Roundworm Encephalitis|undefined
C0026229|Mite Infestations|Infestations with arthropods of the subclass ACARI, superorder Acariformes.
C0013578|Ectoparasitic Infestations|Infestations by PARASITES which live on, or burrow into, the surface of their host's EPIDERMIS. Most ectoparasites are ARTHROPODS.
C0016085|Filariasis|Infections with nematodes of the superfamily FILARIOIDEA. The presence of living worms in the body is mainly asymptomatic but the death of adult worms leads to granulomatous inflammation and permanent fibrosis. Organisms of the genus Elaeophora infect wild elk and domestic sheep causing ischemic necrosis of the brain, blindness, and dermatosis of the face.
C0018469|Habronemiasis|undefined
C0030517|Parathyroid Diseases|Pathological processes of the PARATHYROID GLANDS. They usually manifest as hypersecretion or hyposecretion of PARATHYROID HORMONE that regulates the balance of CALCIUM; PHOSPHORUS; and MAGNESIUM in the body.
C0042870|Vitamin D Deficiency|A nutritional condition produced by a deficiency of VITAMIN D in the diet, insufficient production of vitamin D in the skin, inadequate absorption of vitamin D from the diet, or abnormal conversion of vitamin D to its bioactive metabolites. It is manifested clinically as RICKETS in children and OSTEOMALACIA in adults. (From Cecil Textbook of Medicine, 19th ed, p1406)
C0917800|Epilepsy, Myoclonic, Infantile|undefined
C0234544|Todd Paralysis|undefined
C0340464|Premature Cardiac Complex|A group of cardiac arrhythmias in which the cardiac contractions are not initiated at the SINOATRIAL NODE. They include both atrial and ventricular premature beats, and are also known as extra or ectopic heartbeats. Their frequency is increased in heart diseases.
C0042847|Vitamin B 12 Deficiency|A nutritional condition produced by a deficiency of VITAMIN B 12 in the diet, characterized by megaloblastic anemia. Since vitamin B 12 is not present in plants, humans have obtained their supply from animal products, from multivitamin supplements in the form of pills, and as additives to food preparations. A wide variety of neuropsychiatric abnormalities is also seen in vitamin B 12 deficiency and appears to be due to an undefined defect involving myelin synthesis. (From Cecil Textbook of Medicine, 19th ed, p848)
C0152025|Polyneuropathy|Diseases of multiple peripheral nerves simultaneously. Polyneuropathies usually are characterized by symmetrical, bilateral distal motor and sensory impairment with a graded increase in severity distally. The pathological processes affecting peripheral nerves include degeneration of the axon, myelin or both. The various forms of polyneuropathy are categorized by the type of nerve affected (e.g., sensory, motor, or autonomic), by the distribution of nerve injury (e.g., distal vs. proximal), by nerve component primarily affected (e.g., demyelinating vs. axonal), by etiology, or by pattern of inheritance.
C0236970|Alcohol-Induced Disorders|Disorders stemming from the misuse and abuse of alcohol.
C1145670|Respiratory Failure|undefined
C0393953|Anterior Cerebral Circulation Infarction|undefined
C0917798|Cerebral Ischemia|undefined
C0233407|Disorientation|undefined
C4048158|Convulsions|undefined
C0033922|Psychomotor Disorders|Abnormalities of motor function that are associated with organic and non-organic cognitive disorders.
C4736118|Wandering in Dementia|undefined
C0238051|Cerebral Angiitis|undefined
C0003860|Arteritis|INFLAMMATION of any ARTERIES.
C1384514|Conn Syndrome|Primary hyperaldosteronism caused by the excess production of ALDOSTERONE by an ADENOMA of the ZONA GLOMERULOSA or CONN ADENOMA.
C0343081|Livedoid vasculitis|A rare cutaneous thrombotic disease due to occlusion of dermal vessels. It is characterized by purpuric maculae and ulcerations especially during summer which form scars called atrophie blanche. It is more associated with other syndromes (e.g., PROTEIN C DEFICIENCY; HYPERHOMOCYSTEINEMIA). Livedo reticularis with systemic involvement and stroke is SNEDDON SYNDROME.
C0010153|Corynebacterium Infections|Infections with bacteria of the genus CORYNEBACTERIUM.
C0003047|Animal Diseases|Diseases that occur in VERTEBRATE animals.
C0679360|Foodborne Disease|Acute illnesses, usually affecting the GASTROINTESTINAL TRACT, brought on by consuming contaminated food or beverages. Most of these diseases are infectious, caused by a variety of bacteria, viruses, or parasites that can be foodborne. Sometimes the diseases are caused by harmful toxins from the microbes or other chemicals present in the food. Especially in the latter case, the condition is often called food poisoning.
C0040843|Treponemal Infections|Infections with bacteria of the genus TREPONEMA.
C0037974|Spirochaetales Infections|Infections with bacteria of the order SPIROCHAETALES.
C1145628|Autonomic nervous system disorders|Diseases of the AUTONOMIC NERVOUS SYSTEM, including sympathetic, parasympathetic, and enteric nervous systems.
C0018800|Cardiomegaly|Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.
C0020564|Hypertrophy|General increase in bulk of a part or organ due to CELL ENLARGEMENT and accumulation of FLUIDS AND SECRETIONS, not due to tumor formation, nor to an increase in the number of cells (HYPERPLASIA).
C0752135|Pathological Conditions, Anatomical|An abnormal structural condition of the human body, usually macroscopic, that is common to a variety of different diseases.
C0042790|Vision Disorders|Visual impairments limiting one or more of the basic functions of the eye: visual acuity, dark adaptation, color vision, or peripheral vision. These may result from EYE DISEASES; OPTIC NERVE DISEASES; VISUAL PATHWAY diseases; OCCIPITAL LOBE diseases; OCULAR MOTILITY DISORDERS; and other conditions (From Newell, Ophthalmology: Principles and Concepts, 7th ed, p132).
C0152027|Sensory Disorders|undefined
C4722524|Blood Vessel Tumors|undefined
C0751422|Hereditary Autoinflammatory Diseases|Hereditary inflammation conditions, characterized by recurrent episodes of systemic inflammation. Common symptoms include recurrent fever, rash, arthritis, fatigue, and secondary AMYLOIDOSIS. Hereditary autoinflammatory diseases are associated with mutations in genes involved in regulation of normal inflammatory process and are not caused by AUTOANTIBODIES, or antigen specific T-LYMPHOCYTES.
C4551898|Cholestasis, progressive familial intrahepatic 1|undefined
C0239946|Fibrosis, Liver|undefined
